"","Country","Region","HR","HS","LCI","UCI","GPC","LE","GC"
"1","DENMARK","WESTERN EUROPE",1,127.904761904762,7.46,7.592,143,0.79504,0.44453
"2","SWITZERLAND","WESTERN EUROPE",2,142,7.428,7.59,151,0.86303,0.41203
"3","ICELAND","WESTERN EUROPE",3,154,7.333,7.669,140,0.86733,0.14975
"4","NORWAY","WESTERN EUROPE",4,153,7.421,7.575,153,0.79579,0.35776
"5","FINLAND","WESTERN EUROPE",5,152,7.351,7.475,138,0.81091,0.41004
"6","CANADA","NORTH AMERICA",6,151,7.335,7.473,141,0.8276,0.31329
"7","NETHERLANDS","WESTERN EUROPE",7,150,7.284,7.394,147,0.81231,0.29927
"8","NEW ZEALAND","AUSTRALIA AND NEW ZEALAND",8,145,7.264,7.404,83,0.83096,0.41904
"9","AUSTRALIA","AUSTRALIA AND NEW ZEALAND",9,141,7.385,8.241,85,0.8512,0.32331
"10","SWEDEN","WESTERN EUROPE",10,148,7.227,7.355,146,0.83121,0.40867
"11","ISRAEL","MIDDLE EAST AND NORTHERN AFRICA",11,147,7.199,7.335,130,0.84917,0.08728
"12","AUSTRIA","WESTERN EUROPE",12,146,7.045,7.193,145,0.80565,0.21348
"13","UNITED STATES","NORTH AMERICA",13,145,7.02,7.188,86,0.779,0.14868
"14","COSTA RICA","LATIN AMERICA AND CARIBBEAN",14,144,6.999,7.175,91,0.76146,0.10547
"15","PUERTO RICO","LATIN AMERICA AND CARIBBEAN",15,143,6.794,7.284,133,0.77758,0.12275
"16","GERMANY","WESTERN EUROPE",16,140,6.93,7.058,144,0.81487,0.28551
"17","BRAZIL","LATIN AMERICA AND CARIBBEAN",17,139,6.875,7.029,95,0.61415,0.14166
"18","BELGIUM","WESTERN EUROPE",18,138,6.861,6.997,139,0.81959,0.26248
"19","IRELAND","WESTERN EUROPE",19,137,6.836,6.978,148,0.81455,0.29754
"20","LUXEMBOURG","WESTERN EUROPE",20,136,6.804,6.938,156,0.84542,0.35329
"21","MEXICO","LATIN AMERICA AND CARIBBEAN",21,135,6.876,7.68,100,0.71143,0.18355
"22","SINGAPORE","SOUTHEASTERN ASIA",22,134,6.674,6.804,155,0.94719,0.46987
"23","UNITED KINGDOM","WESTERN EUROPE",23,133,6.647,6.803,137,0.80991,0.27399
