"","Country","Region","HR","HS","LCI","UCI","GPC","LE","GC"
"1","DENMARK","WESTERN EUROPE",24,6.68566666666667,7.46,7.592,1.44178,0.79504,0.44453
"2","SWITZERLAND","WESTERN EUROPE",1,7.509,7.428,7.59,1.52733,0.86303,0.41203
"3","ICELAND","WESTERN EUROPE",2,7.501,7.333,7.669,1.42666,0.86733,0.14975
"4","NORWAY","WESTERN EUROPE",3,7.498,7.421,7.575,1.57744,0.79579,0.35776
"5","FINLAND","WESTERN EUROPE",4,7.413,7.351,7.475,1.40598,0.81091,0.41004
"6","CANADA","NORTH AMERICA",5,7.404,7.335,7.473,1.44015,0.8276,0.31329
"7","NETHERLANDS","WESTERN EUROPE",6,7.339,7.284,7.394,1.46468,0.81231,0.29927
"8","NEW ZEALAND","AUSTRALIA AND NEW ZEALAND",7,7.3235,7.264,7.404,1.36066,0.83096,0.41904
"9","AUSTRALIA","AUSTRALIA AND NEW ZEALAND",8,7.313,7.385,8.241,1.44443,0.8512,0.32331
"10","SWEDEN","WESTERN EUROPE",9,7.291,7.227,7.355,1.45181,0.83121,0.40867
"11","ISRAEL","MIDDLE EAST AND NORTHERN AFRICA",10,7.267,7.199,7.335,1.33766,0.84917,0.08728
"12","AUSTRIA","WESTERN EUROPE",11,7.119,7.045,7.193,1.45038,0.80565,0.21348
"13","UNITED STATES","NORTH AMERICA",12,7.104,7.02,7.188,1.50796,0.779,0.14868
"14","COSTA RICA","LATIN AMERICA AND CARIBBEAN",13,7.087,6.999,7.175,1.06879,0.76146,0.10547
"15","PUERTO RICO","LATIN AMERICA AND CARIBBEAN",14,7.039,6.794,7.284,1.35943,0.77758,0.12275
"16","GERMANY","WESTERN EUROPE",15,6.994,6.93,7.058,1.44787,0.81487,0.28551
"17","BRAZIL","LATIN AMERICA AND CARIBBEAN",16,6.952,6.875,7.029,1.08754,0.61415,0.14166
"18","BELGIUM","WESTERN EUROPE",17,6.929,6.861,6.997,1.42539,0.81959,0.26248
"19","IRELAND","WESTERN EUROPE",18,6.907,6.836,6.978,1.48341,0.81455,0.29754
"20","LUXEMBOURG","WESTERN EUROPE",19,6.871,6.804,6.938,1.69752,0.84542,0.35329
"21","MEXICO","LATIN AMERICA AND CARIBBEAN",20,6.778,6.876,7.68,1.11508,0.71143,0.18355
"22","SINGAPORE","SOUTHEASTERN ASIA",21,6.739,6.674,6.804,1.64555,0.94719,0.46987
"23","UNITED KINGDOM","WESTERN EUROPE",22,6.725,6.647,6.803,1.40283,0.80991,0.27399
"24","CHILE","LATIN AMERICA AND CARIBBEAN",43,6.10175,6.615,6.795,1.2167,0.81883,0.11451
"25","PANAMA","LATIN AMERICA AND CARIBBEAN",23,6.701,6.601,6.801,1.18306,0.70835,0.08423
"26","ARGENTINA","LATIN AMERICA AND CARIBBEAN",25,6.65,6.56,6.74,1.15137,0.69711,0.07296
"27","CZECH REPUBLIC","CENTRAL AND EASTERN EUROPE",26,6.596,6.515,6.677,1.30915,0.76376,0.03986
"28","UNITED ARAB EMIRATES","MIDDLE EAST AND NORTHERN  AFRICA",27,6.573,6.494,6.652,1.57352,0.72993,0.35561
"29","URUGUAY","LATIN AMERICA AND CARIBBEAN",28,6.545,6.456,6.634,1.18157,0.72183,0.21394
"30","MALTA","WESTERN EUROPE",29,6.488,6.409,6.567,1.30782,0.80315,0.17554
"31","COLOMBIA","LATIN AMERICA AND CARIBBEAN",30,6.481,6.384,6.578,1.03032,0.59659,0.05399
"32","FRANCE","WESTERN EUROPE",31,6.478,6.397,6.559,1.39488,0.83795,0.17808
"33","THAILAND","SOUTHEASTERN ASIA",32,6.474,6.396,6.552,1.0893,0.64915,0.02833
"34","SAUDI ARABIA","MIDDLE EAST AND NORTHERN AFRICA",33.5,6.379,6.287,6.471,1.48953,0.59267,0.30008
"35","TAIWAN","EASTERN ASIA",33.5,6.379,6.305,6.453,1.39729,0.79565,0.0663
"36","QATAR","MIDDLE EAST AND NORTHERN AFRICA",35,6.375,6.178,6.572,1.82427,0.71723,0.48049
"37","SPAIN","WESTERN EUROPE",36,6.361,6.288,6.434,1.34253,0.87896,0.06137
"38","ALGERIA","MIDDLE EAST AND NORTHERN AFRICA",37,6.355,6.227,6.483,1.05266,0.61804,0.16157
"39","GUATEMALA","LATIN AMERICA AND CARIBBEAN",38,6.324,6.213,6.435,0.83454,0.54039,0.08701
"40","SURINAME","LATIN AMERICA AND CARIBBEAN",39,6.269,6.073,6.465,1.09686,0.50933,0.12692
"41","KUWAIT","MIDDLE EAST AND NORTHERN AFRICA",40,6.239,6.154,6.324,1.61714,0.63569,0.23669
"42","BAHRAIN","MIDDLE EAST AND NORTHERN AFRICA",41,6.218,6.128,6.308,1.44024,0.65696,0.25772
"43","TRINIDAD AND TOBAGO","LATIN AMERICA AND CARIBBEAN",42,6.168,5.95,6.386,1.32572,0.52608,0.01241
"44","VENEZUELA","LATIN AMERICA AND CARIBBEAN",44,6.084,5.973,6.195,1.13367,0.61904,0.08304
"45","SLOVAKIA","CENTRAL AND EASTERN EUROPE",45,6.078,6.16,6.996,1.27973,0.70367,0.02947
"46","EL SALVADOR","LATIN AMERICA AND CARIBBEAN",46,6.068,6.169,6.967,0.8737,0.596,0.10613
"47","MALAYSIA","SOUTHEASTERN ASIA",47,6.005,5.921,6.089,1.25142,0.62366,0.09081
"48","NICARAGUA","LATIN AMERICA AND CARIBBEAN",48,5.992,5.877,6.107,0.69384,0.65213,0.16292
"49","UZBEKISTAN","CENTRAL AND EASTERN EUROPE",49,5.987,5.896,6.078,0.73591,0.50163,0.28333
"50","ITALY","WESTERN EUROPE",50,5.977,5.898,6.056,1.35495,0.85102,0.02556
"51","ECUADOR","LATIN AMERICA AND CARIBBEAN",51,5.976,5.88,6.072,0.97306,0.68613,0.18037
"52","BELIZE","LATIN AMERICA AND CARIBBEAN",52,5.956,5.71,6.202,0.87616,0.45569,0.10771
"53","JAPAN","EASTERN ASIA",53,5.921,5.85,5.992,1.38007,0.91491,0.18985
"54","KAZAKHSTAN","CENTRAL AND EASTERN EUROPE",54,5.919,5.837,6.001,1.22943,0.57386,0.11132
"55","MOLDOVA","CENTRAL AND EASTERN EUROPE",55,5.897,5.823,5.971,0.69177,0.52309,0.01903
"56","RUSSIA","CENTRAL AND EASTERN EUROPE",56,5.856,5.923,6.789,1.23228,0.58991,0.03586
"57","POLAND","CENTRAL AND EASTERN EUROPE",57.5,5.835,5.749,5.921,1.24585,0.69058,0.055
"58","SOUTH KOREA","EASTERN ASIA",57.5,5.835,5.747,5.923,1.35948,0.88645,0.07716
"59","BOLIVIA","LATIN AMERICA AND CARIBBEAN",59,5.822,5.74,5.904,0.79422,0.4697,0.07746
"60","LITHUANIA","CENTRAL AND EASTERN EUROPE",60,5.813,5.734,5.892,1.2692,0.64674,0.0182
"61","BELARUS","CENTRAL AND EASTERN EUROPE",61,5.802,5.881,6.723,1.13062,0.63104,0.17457
"62","NORTH CYPRUS","WESTERN EUROPE",62,5.771,5.67,5.872,1.31141,0.84142,0.16578
"63","SLOVENIA","CENTRAL AND EASTERN EUROPE",63,5.768,5.683,5.853,1.29947,0.79151,0.03635
